nombre,lat,lng,poblacion,area,region
Pinto,-36.7,-71.8940937,10883,1164,Biobío
Pirque,-33.6793441,-70.5831069,20732,445.3,Metropolitana de Santiago
Pitrufquén,-38.9833,-72.6417312,23776,580.7,La Araucanía
Placilla,-34.6337953,-71.1108273,9624,146.9,'Libertador General Bernardo O''Higgins'
Portezuelo,-36.5267723,-72.4282133,5061,282.3,Biobío
Porvenir,-53.2957997,-70.3666545,5650,9707.4,Magallanes y de la Antártica Chilena
Pozo Almonte,-20.2567092,-69.7860128,11519,13765.8,Tarapacá
Primavera,-52.716667,-69.25,803,4253.4,Magallanes y de la Antártica Chilena
Providencia,-33.4314474,-70.6093325,126487,14.3,Metropolitana de Santiago
Puchuncaví,-32.722005,-71.4117004,16371,300,Valparaiso
Pucón,-39.2722541,-71.9776285,29987,1248.5,La Araucanía
Pudahuel,-33.4421135,-70.7640644,225509,197,Metropolitana de Santiago
Puente Alto,-33.6186082,-70.5906057,757721,88,Metropolitana de Santiago
Puerto Montt,-41.468917,-72.9411364,248945,1673,Los Lagos
Puerto Octay,-40.9768373,-72.8819616,9480,1795.7,Los Lagos
Puerto Varas,-41.3167,-72.9833,39414,4064.9,Los Lagos
Pumanque,-34.6026565,-71.6552933,3458,441,'Libertador General Bernardo O''Higgins'
Punitaqui,-30.8260995,-71.2577912,10418,1339,Coquimbo
Punta Arenas,-53.1638329,-70.9170683,125483,17846.3,Magallanes y de la Antártica Chilena
Puqueldón,-42.6014407,-73.6714848,4097,97.3,Los Lagos
Purén,-38.0326817,-73.0718283,11789,464.9,La Araucanía
Purranque,-40.9084312,-73.1661093,20768,1458.8,Los Lagos
Putaendo,-32.628461,-70.7177434,17369,7.68,Valparaiso
Putre,-18.1969907,-69.5597273,1462,5902.5,Arica y Parinacota
Puyehue,-40.6607937,-72.6131562,11370,1597.9,Los Lagos
Quellón,-43.1169327,-73.6138821,30964,3244,Los Lagos
Quilaco,-37.6875544,-71.9986626,3722,1123.7,Biobío
Quilicura,-33.3576747,-70.7292718,203946,58,Metropolitana de Santiago
Quillón,-36.7338906,-72.4602031,15525,423,Biobío
Quillota,-32.8803027,-71.2497156,88803,302,Valparaiso
Quilpué,-33.0482707,-71.4408752,162320,537,Valparaiso
Quinchao,-42.5381325,-73.4187729,9043,160.7,Los Lagos
Quinta de Tilcoco,-34.3554003,-70.9704681,12144,93,'Libertador General Bernardo O''Higgins'
Quinta Normal,-33.4317378,-70.6923917,101737,13,Metropolitana de Santiago
Quintero,-32.7723101,-71.5333,28066,148,Valparaiso
Quirihue,-36.2832999,-72.5333,11851,589,Biobío
Rancagua,-34.1701324,-70.7406259,250638,260.3,'Libertador General Bernardo O''Higgins'
Ránquil,-36.652566,-72.5972962,4983,248.3,Biobío
Rauco,-34.9253441,-71.3156315,9878,309,Maule
Recoleta,-33.3972075,-70.6428148,152985,16,Metropolitana de Santiago
Renca,-33.4063601,-70.7279965,142136,24,Metropolitana de Santiago
Rengo,-34.4023791,-70.8674411,56188,755,'Libertador General Bernardo O''Higgins'
Requínoa,-34.2883749,-70.815833,26235,673,'Libertador General Bernardo O''Higgins'
Rinconada,-32.8352416,-70.7010367,8097,122.5,Valparaiso
Río Bueno,-40.3313422,-72.9485366,31343,2211.7,Los Ríos
Río Claro,-35.2808267,-71.2599507,13020,431,Maule
Río Hurtado,-30.266667,-70.666667,4149,2180,Coquimbo
Río Ibáñez,-46.3,-71.933333,2208,5997.2,Aisén del General Carlos Ibáñez del Campo
Río Negro,-40.7832999,-73.2333,13425,1265.7,Los Lagos
