nombre,id,lat,lng,region,cantidadElas,poblacion
"Máfil",14105,-39.6648976,-72.9571573,"Región de Los Ríos",3,7006
"Maipú",13119,-33.5209155,-70.7631335,"Santiago",221,805000
"Malloa",6109,-34.4423905,-70.9463887,"Región de O'Higgins",4,14972
"Marchihue",6204,-34.3984467,-71.6215715,"Región de O'Higgins",6,7557
"María Elena",2302,-22.3450046,-69.6607055,"Región de Antofagasta",2,4593
"María Pinto",13504,-33.5176692,-71.1239221,"Santiago",6,12501
"Mariquina",14106,-39.540279,-72.965652,"Región de Los Ríos",9,19823
"Maule",7105,-35.5163603,-71.5723953,"Región de Maule",28,21957
"Maullín",10108,-41.614807,-73.5990281,"Región de Los Lagos",14,13914
"Mejillones",2102,-23.0985013,-70.4455041,"Región de Antofagasta",9,9752
"Melipeuco",9110,-38.852306,-71.6929428,"Región de La Araucanía",4,5451
"Melipilla",13501,-33.6861588,-71.2166838,"Santiago",52,107698
"Molina",7304,-35.1164987,-71.2829759,"Región de Maule",20,40329
"Monte Patria",4303,-30.6978944,-70.9586889,"Región de Coquimbo",28,30137
"Mostazal",6110,-26.6833,-69.5833,"Región de O'Higgins",14,23430
"Mulchén",8305,-37.7178812,-72.2374343,"Región de Biobío",15,28517
"Nancagua",6305,-34.6523209,-71.1968597,"Región de O'Higgins",16,18921
"Natales",12401,-51.733333,-72.516667,"Región de Magallanes",27,21327
"Navidad",6205,-33.9593954,-71.8295188,"Región de O'Higgins",6,5650
"Negrete",8307,-37.5862531,-72.5320562,"Región de Biobío",6,8933
"Ninhue",8408,-36.4,-72.4,"Región de Biobío",3,5278
"Ñiquen",8409,-36.3,-71.9,"Región de Biobío",5,10063
"Nogales",5506,-32.7333,-71.2042115,"Región de Valparaiso",12,26385
"Nueva Imperial",9111,-38.7445218,-72.9482281,"Región de La Araucanía",20,32109
"Ñuñoa",13120,-33.4566678,-70.5978415,"Santiago",527,195410
"O'higgins",11302,-34.5755374,-71.0022311,"Región de Aisén",2,700
"Olivar",6111,-34.233,-70.883,"Región de O'Higgins",7,13483
"Olmué",5803,-32.9981387,-71.1892783,"Región de Valparaiso",17,16243
"Osorno",10301,-40.5761897,-73.1149469,"Región de Los Lagos",151,153797
"Ovalle",4301,-30.604304,-71.1969882,"Región de Coquimbo",65,112956
"Padre Hurtado",13604,-33.5749687,-70.8149905,"Santiago",15,50696
"Padre Las Casas",9112,-38.7667,-72.6,"Región de La Araucanía",31,72135
"Paihuano",4105,-30.0276898,-70.5178142,"Región de Coquimbo",13,4252
"Paillaco",14107,-40.0684279,-72.8748414,"Región de Los Ríos",37,19898
"Paine",13404,-33.8125656,-70.7375968,"Santiago",22,66512
"Palena",10404,-43.6167,-71.8,"Región de Los Lagos",12,1665
"Palmilla",6306,-34.5774223,-71.380135,"Región de O'Higgins",7,12373
"Panguipulli",14108,-39.6436316,-72.3364942,"Región de Los Ríos",10,35185
"Panquehue",5704,-32.7670303,-70.8333,"Región de Valparaiso",5,7569
"Papudo",5403,-32.5072087,-71.4485013,"Región de Valparaiso",5,5643
"Paredones",6206,-34.6519651,-71.9001448,"Región de O'Higgins",7,6802
"Parral",7404,-36.1399593,-71.8244406,"Región de Maule",20,39404
"Pedro Aguirre Cerda",13121,-33.4940901,-70.6765026,"Santiago",150,104018
"Pelarco",7106,-35.3838823,-71.447192,"Región de Maule",6,7959
"Pelluhue",7203,-35.8141512,-72.5749979,"Región de Maule",28,6636
"Pemuco",8410,-36.9667,-72.1,"Región de Biobío",4,9120
"Peñaflor",13605,-33.6060255,-70.8781837,"Santiago",46,87741
"Peñalolén",13122,-33.4719116,-70.5627854,"Santiago",189,249621
