idEla,lat,lng,comuna,fecha
452,-33.0506652,-71.6096922,Valparaíso,2016-06-12 16:30:00
459,-33.4497555,-70.727891,Lo Prado,2016-06-08 13:30:00
462,\N,\N,Linares,2016-06-09 15:00:00
463,\N,\N,Ñuñoa,2016-06-11 20:00:00
464,\N,\N,La Reina,2016-05-21 15:00:00
465,-22.4468094,-68.9281106,Calama,2016-05-27 13:30:00
466,\N,\N,La Florida,2016-06-19 16:30:00
467,-33.0142229,-71.5434291,Viña del Mar,2016-05-20 16:00:00
468,\N,\N,La Serena,2016-06-28 19:00:00
469,\N,\N,Calama,2016-06-07 09:00:00
470,-33.5915412,-71.6115224,San Antonio,2016-06-11 11:00:00
471,\N,\N,La Unión,2016-05-25 15:00:00
475,\N,\N,Peñalolén,2016-06-28 19:30:00
476,\N,\N,San Felipe,2016-06-20 14:15:00
479,\N,\N,Santiago,2016-06-18 10:30:00
481,\N,\N,Pinto,2016-06-09 15:00:00
482,-32.8313799,-70.5978899,Los Andes,2016-06-22 16:00:00
483,\N,\N,Maullín,2016-06-28 15:00:00
484,-35.4322037,-71.6587442,Talca,2016-05-31 19:30:00
486,-33.4778632,-70.6266319,San Joaquín,2016-06-15 17:00:00
490,-29.9297742,-71.2428422,La Serena,2016-05-25 20:00:00
493,\N,\N,Puente Alto,2016-06-19 20:30:00
494,\N,\N,Providencia,2016-05-05 19:00:00
495,-33.4472249,-70.5913427,Peñalolén,2016-05-14 09:00:00
498,-39.8253239,-73.2166851,Valdivia,2016-06-21 18:00:00
499,-33.4268548,-70.6455688,Recoleta,2016-06-11 15:00:00
502,\N,\N,Viña del Mar,2016-06-16 19:30:00
504,-39.8216874,-73.2498264,Valdivia,2016-06-04 09:00:00
505,\N,\N,Temuco,2016-06-26 12:00:00
507,-38.7387455,-72.5973708,Temuco,2016-06-21 19:30:00
508,\N,\N,Valdivia,2016-06-21 15:00:00
509,-32.8,-70.5592069,Los Andes,2016-06-23 18:00:00
510,-33.4432348,-70.5596172,La Reina,2016-06-04 10:00:00
513,-33.5601476,-70.563525,La Florida,2016-05-07 16:15:00
514,-27.3714436,-70.3291122,Copiapó,2016-06-03 18:00:00
516,-33.0432015,-71.6256706,Valparaíso,2016-05-10 18:00:00
520,\N,\N,Concepción,2016-05-07 09:30:00
521,\N,\N,Cauquenes,2016-06-21 18:00:00
523,-36.6055308,-72.0971051,Chillán,2016-06-14 09:00:00
524,\N,\N,Santa Bárbara,2016-06-16 15:30:00
525,\N,\N,Las Condes,2016-06-21 18:00:00
526,-33.5393823,-70.5639656,Macul,2016-06-08 18:00:00
527,-33.4376289,-70.6368118,Santiago,2016-06-09 18:30:00
528,\N,\N,Villa Alemana,2016-05-28 16:30:00
531,\N,\N,Temuco,2016-06-28 19:00:00
533,\N,\N,La Serena,2016-06-04 16:00:00
534,\N,\N,Valparaíso,2016-06-18 15:00:00
535,-29.9007175,-71.2510923,La Serena,2016-06-18 09:00:00
541,-33.4792251,-70.5740949,Peñalolén,2016-06-19 16:43:00
542,\N,\N,La Florida,2016-06-25 16:00:00
550,\N,\N,Rancagua,2016-06-11 20:00:00
551,\N,\N,Chillán,2016-06-05 11:00:00
552,\N,\N,Rancagua,2016-06-14 15:00:00
553,-23.679129,-70.4098291,Antofagasta,2016-06-17 15:00:00
554,\N,\N,Pedro Aguirre Cerda,2016-06-18 19:00:00
555,-53.1576292,-70.9161228,Punta Arenas,2016-06-24 17:45:00
557,\N,\N,Ñuñoa,2016-06-25 20:00:00
559,-22.0951365,-70.2041585,Tocopilla,2016-06-28 17:45:00
560,-34.1687672,-70.7645763,Rancagua,2016-06-02 18:00:00
562,-33.4292325,-70.6122148,Providencia,2016-06-12 13:00:00
564,-33.4395938,-70.6746989,Santiago,2016-06-18 15:00:00
566,\N,\N,Vitacura,2016-05-26 12:30:00
567,\N,\N,San Antonio,2016-06-24 20:00:00
568,\N,\N,Ñuñoa,2016-06-04 18:10:00
569,\N,\N,Puerto Montt,2016-06-17 14:30:00
571,\N,\N,Osorno,2016-05-27 19:30:00
572,-33.4912642,-70.6332713,San Joaquín,2016-06-25 16:00:00
574,-23.5848541,-70.377769,Antofagasta,2016-06-18 17:00:00
579,-33.626871,-70.5770728,Puente Alto,2016-06-03 15:00:00
583,-38.7385922,-72.5953815,Temuco,2016-06-21 20:00:00
585,\N,\N,Santiago,2016-06-04 10:30:00
586,\N,\N,Antofagasta,2016-06-25 16:00:00
587,\N,\N,Colina,2016-06-04 10:00:00
589,\N,\N,Chillán Viejo,2016-05-28 16:29:00
590,\N,\N,Catemu,2016-06-19 14:00:00
592,\N,\N,Puente Alto,2016-06-19 16:00:00
594,\N,\N,San Felipe,2016-06-12 15:00:00
595,\N,\N,Santiago,2016-06-21 08:00:00
597,\N,\N,Puente Alto,2016-06-17 20:30:00
598,\N,\N,Chillán,2016-06-22 10:00:00
601,-33.4613887,-70.5979897,Macul,2016-05-27 14:30:00
602,-26.3887565,-70.0456708,Diego de Almagro,2016-06-18 10:00:00
603,-33.4553084,-70.6169283,Ñuñoa,2016-06-27 18:30:00
605,\N,\N,Licantén,2016-05-24 18:00:00
606,\N,\N,Valparaíso,2016-06-03 17:00:00
608,-32.7398342,-70.7204943,San Felipe,2016-06-12 14:00:00
609,\N,\N,La Florida,2016-06-25 17:00:00
611,-33.6823419,-71.2093572,Melipilla,2016-05-29 15:00:00
612,\N,\N,Independencia,2016-06-15 16:30:00
613,\N,\N,San Joaquín,2016-06-28 18:00:00
615,\N,\N,Talca,2016-06-21 16:00:00
616,\N,\N,Providencia,2016-05-28 10:30:00
618,\N,\N,Iquique,2016-06-28 18:00:00
619,\N,\N,Viña del Mar,2016-06-12 11:00:00
626,\N,\N,Coronel,2016-06-28 11:00:00
627,-33.5501833,-70.6404763,San Ramón,2016-06-14 15:00:00
628,-33.4387171,-70.664574,Ñuñoa,2016-06-28 17:00:00
629,\N,\N,Providencia,2016-06-11 16:00:00
631,\N,\N,Talca,2016-06-18 16:00:00
632,\N,\N,San José de Maipo,2016-06-23 19:00:00
633,-33.4592537,-70.6191209,Ñuñoa,2016-06-27 16:00:00
634,\N,\N,Linares,2016-06-20 10:30:00
636,\N,\N,Independencia,2016-06-22 15:00:00
638,\N,\N,Extranjero,2016-06-04 16:00:00
639,\N,\N,Iquique,2016-06-25 17:00:00
641,\N,\N,Huara,2016-06-11 19:30:00
642,\N,\N,Teno,2016-06-28 16:00:00
643,\N,\N,Rengo,2016-06-11 14:00:00
644,\N,\N,San Miguel,2016-06-18 18:00:00
649,-33.0272783,-71.4325618,Quilpué,2016-06-21 13:27:00
652,-33.4521717,-70.5328228,La Reina,2016-06-28 17:00:00
653,\N,\N,Pedro Aguirre Cerda,2016-06-22 18:30:00
654,\N,\N,Temuco,2016-06-17 11:30:00
660,\N,\N,Providencia,2016-06-16 08:15:00
663,\N,\N,Santiago,2016-06-04 10:00:00
664,\N,\N,Talca,2016-06-27 16:00:00
665,\N,\N,Curepto,2016-06-16 17:30:00
666,\N,\N,El Carmen,2016-05-30 16:00:00
668,\N,\N,Punta Arenas,2016-06-24 20:00:00
669,-33.5925808,-70.7010257,San Bernardo,2016-06-06 10:00:00
671,\N,\N,Las Condes,2016-06-17 20:00:00
673,-37.240426,-71.940282,Tucapel,2016-06-02 18:30:00
675,\N,\N,Lebu,2016-06-04 17:00:00
676,\N,\N,Temuco,2016-06-19 12:12:00
