idEla,lat,lng,comuna,fecha,link,participantes
11993,\N,\N,"Rengo","2016-06-13 17:32:00",7777,"F:31,F:55,M:31,M:37,M:40,M:52,M:56,M:58,M:63,M:66"
11994,-33.4214238,-70.7019502,"Quinta Normal","2016-06-18 10:00:00",8490,"F:25,F:27,F:45,F:47,F:51,F:58,F:73,M:55,M:70,M:73"
11995,\N,\N,"Peñalolén","2016-06-12 11:30:00",3508,"F:37,F:37,F:42,F:43,F:43,F:52,F:69,M:40,M:46,M:47,M:52,M:53"
11997,-39.8280598,-73.2135748,"Valdivia","2016-06-11 11:00:00",7838,"F:48,F:55,F:68,F:69,M:40,M:54,M:63,M:71,M:74,M:77,M:81,M:92"
11999,\N,\N,"Curicó","2016-06-18 10:00:00",8327,"F:37,F:38,F:50,F:51,F:64,M:15,M:36,M:36,M:45,M:48,M:53"
12000,\N,\N,"Purranque","2016-05-22 15:00:00",2693,"F:21,F:24,F:33,F:37,F:40,F:42,F:46,F:66,F:72,M:44"
12002,\N,\N,"Extranjero","2016-06-03 11:35:00",2489,"F:20,F:31,F:34,F:38,F:41,F:46,F:53,F:54,F:69,M:30,M:35,M:44,M:53,M:59,M:62"
12003,\N,\N,"Extranjero","2016-06-04 14:30:00",3564,"F:59,F:63,F:66,F:67,M:52,M:61,M:63,M:66,M:66,M:67,M:67,M:71,M:72"
12004,\N,\N,"Melipilla","2016-06-28 18:15:00",13704,"F:23,F:32,F:33,F:35,F:37,F:42,F:44,F:45,F:48,F:54,F:57,F:57"
12005,\N,\N,"Huechuraba","2016-06-21 14:35:00",4256,"F:16,F:17,F:17,F:17,F:17,F:17,F:18,F:18,M:16,M:16,M:17,M:17,M:18,M:18,M:18"
12007,\N,\N,"La Florida","2016-05-13 17:00:00",154,"F:17,F:26,F:28,F:54,F:62,M:14,M:14,M:14,M:15,M:17,M:18,M:63"
12008,-33.4585666,-70.6021581,"Ñuñoa","2016-06-25 15:13:00",14431,"F:24,F:24,F:25,F:33,F:35,F:42,F:43,F:43,F:53,F:54,F:55,F:59,F:67,M:32,M:47,M:54,M:57,M:63,M:68,M:81"
12009,\N,\N,"Quinta Normal","2016-06-17 18:00:00",9101,"F:24,F:28,F:32,F:37,F:40,F:42,F:45,F:46,F:50,F:51,F:52,F:61"
12010,-33.3677586,-70.7440495,"Quilicura","2016-06-08 14:00:00",3776,"F:26,F:27,F:28,F:32,F:40,F:40,F:42,F:44,F:46,F:49,F:49,F:50,F:57,F:61,M:23,M:51"
12012,\N,\N,"Antofagasta","2016-06-27 11:59:00",15090,"F:52,M:15,M:15,M:15,M:15,M:15,M:15,M:15,M:16,M:16,M:16,M:16,M:16,M:16,M:17,M:17,M:17,M:17"
12013,\N,\N,"San Nicolás","2016-06-12 17:15:00",8756,"F:40,F:48,F:52,F:53,F:59,F:89,M:54,M:75,M:82,M:83"
12014,\N,\N,"Punta Arenas","2016-06-23 20:00:00",8051,"F:26,F:41,F:41,F:43,F:44,M:14,M:16,M:41,M:43,M:53,M:56"
12016,\N,\N,"Coyhaique","2016-06-16 19:30:00",8330,"F:27,F:29,F:53,F:57,M:28,M:33,M:39,M:40,M:41,M:60"
12017,\N,\N,"Puerto Montt","2016-06-16 20:00:00",8338,"F:45,F:46,F:55,F:56,F:57,F:57,F:59,F:62,F:62,F:70,F:73,F:74,F:74,F:87"
12018,\N,\N,"Calama","2016-05-23 14:00:00",1224,"F:26,F:27,F:32,F:35,F:45,F:47,F:50,F:52,F:55,F:59,M:28"
12020,\N,\N,"Requínoa","2016-06-04 18:30:00",2420,"F:15,F:23,F:25,F:34,F:48,M:21,M:24,M:28,M:40,M:55"
12021,\N,\N,"Coquimbo","2016-06-18 18:00:00",10518,"F:15,F:20,F:26,F:33,F:43,F:54,F:55,F:57,F:58,F:74,F:75,M:13,M:16,M:18,M:18,M:32,M:41,M:47,M:50,M:51"
12023,-20.2407026,-70.1450085,"Iquique","2016-06-09 18:00:00",6748,"F:21,F:21,F:21,F:22,F:22,F:27,M:21,M:25,M:25"
12024,\N,\N,"Viña del Mar","2016-06-11 10:00:00",6170,"M:16,M:27,M:28,M:30,M:30,M:36,M:44,M:48,M:50,M:58,M:71"
